[time:13:48:41]-[stat:service=ApiSl.info;runtimes:0.0143s]
[time:13:48:53]-[stat:service=ApiSl.info;runtimes:0.0055s]
[time:13:48:56]-[stat:service=ApiSl.info;runtimes:0.003s]
[time:13:48:56]-[stat:service=ApiSl.info;runtimes:0.0032s]
[time:13:49:58]-[stat:service=ApiSl.info;runtimes:0.0042s]
[time:13:50:35]-[stat:service=ApiSl.info;runtimes:0.0047s]
[time:13:51:10]-[stat:service=ApiSl.info;runtimes:0.0035s]
[time:13:51:25]-[stat:service=ApiSl.info;runtimes:0.0115s]
[time:13:51:52]-[stat:service=ApiSl.info;runtimes:0.0063s]
[time:14:16:16]-[stat:service=ApiSl.info;runtimes:0.0101s]
[time:14:33:45]-[stat:service=ApiSl.info;runtimes:0.0106s]
